Year;Specimen;PathogenName;AntibioticName;Iso3;CountryTerritoryArea;WHORegionName;InterpretableAST;Resistant;ResistancePercentage
2023;Urinary tract;Klebsiella pneumoniae;Imipenem;BGD;Bangladesh;South-East Asia Region;56;17;30.357142857
2023;Urinary tract;Klebsiella pneumoniae;Meropenem;BGD;Bangladesh;South-East Asia Region;129;36;27.906976744
2023;Urinary tract;Klebsiella pneumoniae;Cefepime;BHR;Bahrain;Eastern Mediterranean Region;709;264;37.235543018
2023;Urinary tract;Klebsiella pneumoniae;Cefotaxime;BHR;Bahrain;Eastern Mediterranean Region;100;43;43.0
2023;Urinary tract;Klebsiella pneumoniae;Ceftazidime;BHR;Bahrain;Eastern Mediterranean Region;954;338;35.429769392
2023;Urinary tract;Klebsiella pneumoniae;Ceftriaxone;BHR;Bahrain;Eastern Mediterranean Region;1775;552;31.098591549
2023;Urinary tract;Klebsiella pneumoniae;Ciprofloxacin;BHR;Bahrain;Eastern Mediterranean Region;1606;359;22.353673724
2023;Urinary tract;Klebsiella pneumoniae;Co-trimoxazole;BHR;Bahrain;Eastern Mediterranean Region;1087;299;27.506899724
2023;Urinary tract;Klebsiella pneumoniae;Colistin;BHR;Bahrain;Eastern Mediterranean Region;120;21;17.5
2023;Urinary tract;Klebsiella pneumoniae;Ertapenem;BHR;Bahrain;Eastern Mediterranean Region;822;179;21.776155718
2023;Urinary tract;Klebsiella pneumoniae;Imipenem;BHR;Bahrain;Eastern Mediterranean Region;904;164;18.14159292
2023;Urinary tract;Klebsiella pneumoniae;Levofloxacin;BHR;Bahrain;Eastern Mediterranean Region;743;226;30.417227456
2023;Urinary tract;Klebsiella pneumoniae;Meropenem;BHR;Bahrain;Eastern Mediterranean Region;1061;243;22.902921772
2023;Urinary tract;Klebsiella pneumoniae;Cefepime;BRA;Brazil;Region of the Americas;1799;1009;56.086714842
2023;Urinary tract;Klebsiella pneumoniae;Ceftazidime;BRA;Brazil;Region of the Americas;647;488;75.42503864
2023;Urinary tract;Klebsiella pneumoniae;Ceftriaxone;BRA;Brazil;Region of the Americas;1840;999;54.293478261
2023;Urinary tract;Klebsiella pneumoniae;Ciprofloxacin;BRA;Brazil;Region of the Americas;1902;1109;58.307045216
2023;Urinary tract;Klebsiella pneumoniae;Co-trimoxazole;BRA;Brazil;Region of the Americas;1625;791;48.676923077
2023;Urinary tract;Klebsiella pneumoniae;Ertapenem;BRA;Brazil;Region of the Americas;1394;609;43.68723099
2023;Urinary tract;Klebsiella pneumoniae;Imipenem;BRA;Brazil;Region of the Americas;214;61;28.504672897
2023;Urinary tract;Klebsiella pneumoniae;Levofloxacin;BRA;Brazil;Region of the Americas;162;124;76.543209877
2023;Urinary tract;Klebsiella pneumoniae;Meropenem;BRA;Brazil;Region of the Americas;1601;534;33.354153654
2023;Urinary tract;Klebsiella pneumoniae;Ceftriaxone;BTN;Bhutan;South-East Asia Region;105;46;43.80952381
2023;Urinary tract;Klebsiella pneumoniae;Co-trimoxazole;BTN;Bhutan;South-East Asia Region;107;43;40.186915888
2023;Urinary tract;Klebsiella pneumoniae;Meropenem;BTN;Bhutan;South-East Asia Region;13;5;38.461538462
2023;Urinary tract;Klebsiella pneumoniae;Cefepime;CAN;Canada;Region of the Americas;2505;96;3.832335329
2023;Urinary tract;Klebsiella pneumoniae;Ceftazidime;CAN;Canada;Region of the Americas;7353;370;5.031959744
2023;Urinary tract;Klebsiella pneumoniae;Ceftriaxone;CAN;Canada;Region of the Americas;15920;1086;6.82160804
2023;Urinary tract;Klebsiella pneumoniae;Ciprofloxacin;CAN;Canada;Region of the Americas;45522;3852;8.461842626
2023;Urinary tract;Klebsiella pneumoniae;Co-trimoxazole;CAN;Canada;Region of the Americas;49431;4143;8.381380106
2023;Urinary tract;Klebsiella pneumoniae;Ertapenem;CAN;Canada;Region of the Americas;6665;25;0.375093773
2023;Urinary tract;Klebsiella pneumoniae;Levofloxacin;CAN;Canada;Region of the Americas;2514;68;2.704852824
2023;Urinary tract;Klebsiella pneumoniae;Meropenem;CAN;Canada;Region of the Americas;7996;24;0.300150075
2023;Urinary tract;Klebsiella pneumoniae;Cefepime;CHE;Switzerland;European Region;22018;802;3.642474339
2023;Urinary tract;Klebsiella pneumoniae;Cefotaxime;CHE;Switzerland;European Region;1203;63;5.236907731
2023;Urinary tract;Klebsiella pneumoniae;Ceftazidime;CHE;Switzerland;European Region;23401;1420;6.068116747
2023;Urinary tract;Klebsiella pneumoniae;Ceftriaxone;CHE;Switzerland;European Region;21556;1316;6.105028762
2023;Urinary tract;Klebsiella pneumoniae;Ciprofloxacin;CHE;Switzerland;European Region;28984;2374;8.190725918
2023;Urinary tract;Klebsiella pneumoniae;Co-trimoxazole;CHE;Switzerland;European Region;29028;2938;10.12126223
